CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
1,0,1,IB,IB,,CBT,"Broilers-Iced",,Settlement,"",0,3,300,USD,"30000 lbs","cents/lb",1,3,VVVVVVVVVVVV,1969-08-19,1981-01-22,"","",,"",2,0,0,0,0,
2,0,2,LC,LC,LC,CME,"Live Cattle",Combined,Settlement,"LC,LC2,LC1",1,4,400,USD,"40000 lbs","cents/lb",2.5,10,IVIVIVIVIVIV,1964-11-30,2020-10-28,"","08:30 - 13:05",,"",2,1,0,0,1,57781
3,0,3,CC,CC,CC,ICEUS,"Cocoa",RTH,Settlement,"CC,CC1,CC2",1,10,10,USD,"10 tonnes","USD/tonne",1,10,IIVIVIVIVIIV,1965-12-30,2020-10-28,"CC2 starts at 1965-12-30","04:45 - 13:30",,"",0,0,0,0,1,31624
4,0,4,LH,LH,LH,CME,"Lean Hogs",Combined,Settlement,"LH,LH2,LH1",1,4,400,USD,"40000 lbs","cents/lb",2.5,10,IVIVVVVVIVIV,1966-02-28,2020-10-28,"","08:30 - 13:05",,"",2,1,0,0,1,30958
5,0,5,PB,PB,PB,CME,"Pork Bellies",RTH,Settlement,"PB,PB2,PB3",0,4,400,USD,"40000 lbs","cents/lb",2.5,10,IVVIVIVVIIII,1961-09-18,2011-07-15,"","10:10 - 14:00",,"",2,1,0,0,0,
6,0,6,CU9,CU9,,COMEX,"Copper",,Settlement,"",0,2.5,250,USD,"25000 lbs","cents/lb",1,2.5,SSVSVSVSVSSV,1966-01-03,1989-12-27,"","09:50 - 14:00",,"",2,0,0,0,1,
7,0,7,CT,CT,CT,ICEUS,"Cotton #2",RTH,Settlement,"CT,CT1,CT2",1,5,500,USD,"50000 lbs","cents/lb",1,5,IIVIVIVIIVIV,1967-03-22,2020-10-28,"CT2 starts at 1967-03-22","21:00 - 14:20",,"",2,0,0,0,1,35749
8,0,8,HG,HG,HG,COMEX,"Copper",RTH,Settlement,"HG,HG2,HG1",1,2.5,250,USD,"25000 lbs","cents/lb",5,12.5,SSVSVSVSVSSV,1988-07-29,2020-10-28,"CU9 starts at 1966-01-03","18:00 - 17:00",,"",2,0,0,0,1,166
9,0,9,C,C,C,CBT,"Corn",RTH,Settlement,"C,C2,ZC",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,IIVIVIVIVIIV,1946-01-02,2020-10-28,"","19:00 - 13:20",,"",-1,0,0,0,1,14578
10,0,10,KC,KC,KC,ICEUS,"Coffee",RTH,Settlement,"KC,KC1,KC2",1,3.75,375,USD,"37500 lbs","cents/lb",5,18.75,IIVIVIVIVIIV,1972-08-16,2020-10-28,"KC2 starts at 1972-08-16","04:15 - 13:30",,"",2,0,0,0,1,31867
11,0,11,O,O,O,CBT,"Oats",RTH,Settlement,"O,O2,ZO",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,IIVIVIVIVIIV,1947-01-02,2020-10-28,"","09:00 - 13:20",,"",-1,0,0,0,1,0
12,0,12,OJ,OJ,OJ,ICEUS,"Orange Juice",RTH,Settlement,"OJ,OJ1,OJ2",1,1.5,150,USD,"15000 lbs","cents/lb",5,7.5,VIVIVIVIVIVI,1966-10-26,2020-10-28,"OJ2 starts at 1966-10-26","08:00 - 14:00",,"",2,0,0,0,1,768
13,0,13,PL,PL,PL,NYMEX,"Platinum",RTH,Settlement,"PL,PL1,PL2",1,5,50,USD,"50 oz troy","USD/oz troy",1,5,VSSVSSVSSVSS,1964-01-14,2020-10-28,"","18:00 - 17:00",,"",1,0,0,0,1,180
16,0,16,SI,SI,SI,COMEX,"Silver",RTH,Settlement,"SI,SI1,SI2",1,5,50,USD,"5000 oz troy","cents/troy oz",1,5,VSVSVSVSVSSV,1963-06-12,2020-10-28,"","18:00 - 17:00",,"",1,0,0,0,1,556
17,0,17,S,S,S,CBT,"Soybeans",RTH,Settlement,"S,S2,ZS",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,VIVIVIVVVIVI,1947-07-07,2020-10-28,"","19:00 - 13:20",,"",-1,0,0,0,1,28314
18,0,18,SM,SM,SM,CBT,"Soybean Meal",RTH,Settlement,"SM,SM2,ZM",1,10,100,USD,"100 short tons","USD/short ton",1,10,VIVIVIVVVVIV,1951-08-29,2020-10-28,"","19:00 - 13:20",,"",1,0,0,0,1,6649
19,0,19,BO,BO,BO,CBT,"Soybean Oil",RTH,Settlement,"BO,BO2,ZL",1,6,600,USD,"60000 lbs","cents/lb",1,6,VIVIVIVVVVIV,1950-07-17,2020-10-28,"","19:00 - 13:20",,"",2,0,0,0,1,2480
20,0,20,SB,SB,SB,ICEUS,"Sugar #11 (World)",RTH,Settlement,"SB,SB1,SB2",1,11.2,1120,USD,"112000 lbs","cents/lb",1,11.2,IIVIVIVIIVII,1965-12-30,2020-10-28,"SB2 starts at 1965-12-30","03:30 - 13:00",,"",2,0,0,0,1,124605
21,0,21,W,W,W,CBT,"Wheat",RTH,Settlement,"W,W2,ZW",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,IIVIVIVIVIIV,1922-01-03,2020-10-28,"","09:00 - 13:20",,"",-1,0,0,0,1,2451
22,0,22,KW,KW,KW,KCBT,"Kansas City HRW Wheat",RTH,Settlement,"KW,KW2,KE",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,IIVIVIVIVIIV,1966-05-16,2020-10-28,"","10:30 - 14:15",,"",-1,0,0,0,1,1164
23,0,23,MP,MP,MP,CME,"Mexican Peso",Combined,Settlement,"MP,MP2,MP1",1,5,500000,USD,"MXN 500000","USD/MXN",1,5,SSVSSVSSVSSV,1995-04-25,2020-10-28,"","17:00 - 16:00",,"",5,0,0,0,1,41927
24,0,24,DM,DM,DM,CME,"Deutsche Mark",Combined,Settlement,"DM,DM2",0,12.5,125000,USD,"DEM 125000","USD/DEM",1,12.5,IIVIIVIIVIIV,1972-05-16,2001-12-18,"","14:30 - 14:00",,"",4,0,0,0,0,
25,0,25,SF,SF,SF,CME,"Swiss Franc",Combined,Settlement,"SF,SF2,SF1",1,12.5,125000,USD,"CHF 125000","USD/CHF",1,12.5,IIVIIVIIVIIV,1972-05-16,2020-10-28,"","17:00 - 16:00",,"",4,0,0,0,1,16511
26,0,26,BP,BP,NB,CME,"British Pound",Combined,Settlement,"BP,BP2,BP1",1,6.25,62500,USD,"GBP 62500","USD/GBP",1,6.25,SSVSSVSSVSSV,1972-05-16,2020-10-28,"","17:00 - 16:00",,"",4,0,0,0,1,72554
27,0,27,LB,LB,LB,CME,"Lumber",Combined,Settlement,"LB,LB2,LB1",1,11,110,USD,"110000 board ft","USD/1000 board ft",1,11,VIVIVIVIVIVI,1969-10-01,2020-10-28,"","09:00 - 16:00",,"",1,0,0,0,1,465
28,0,28,ZG,ZG,ZG,CBT,"100oz Gold",,Settlement,"",1,10,100,USD,"100 oz","USD/oz",1,10,SVSVSVSVSVSV,1987-09-14,2020-10-28,"","20:00 - 18:00",,"",1,0,0,0,1,0
29,0,29,ST,ST,ST,CME,"Cattle-Stocker",,Settlement,"",0,2.5,250,USD,"25000 lbs","cents/lb",5,12.5,VVVIIIIIIVVV,1998-11-30,2001-08-02,"","09:10 - 13:05",,"",2,0,0,0,1,
30,0,30,GC,GC,GC,COMEX,"Gold",RTH,Settlement,"GC,GC1,GC2",1,10,100,USD,"100 oz troy","USD/oz troy",1,10,SVSVSVSVSVSV,1975-01-02,2020-10-28,"","18:00 - 17:00",,"",1,0,0,0,1,2559
32,52,2003,MAU,MAU3,,LME,"London Gold (LBMA AM fix; highest/lowest of LBMA AM/PM fix; LBMA PM fix)",,Settlement,"",1,0.1,10,USD,"100 oz","USD/oz",1,0.1,,1998-10-16,2020-10-28,"","",,"",2,0,0,0,0,
32,49,2000,MAU,MAU0,,LME,"London Gold (spot open; highest/lowest of spot open/LBMA AM/PM fix/spot close; LBMA PM fix)",,Settlement,"",1,0.1,10,USD,"100oz","USD/oz",1,0.1,,1998-10-16,2020-10-28,"","",,"",2,0,0,0,0,
32,50,2002,MAU,MAU2,,LME,"London Gold (spot open; LBMA AM fix; LBMA PM fix; spot close)",,Settlement,"",1,0.1,10,USD,"100 oz","USD/oz",1,0.1,,1975-04-16,2020-10-28,"","",,"",2,0,0,0,0,
32,47,0,MAU,,,LME,"London Gold (Same as #38(47) but higher precision)",,Settlement,"",0,,,,"","",,,,1993-08-04,1995-05-22,"","",,"",2,0,0,0,0,
33,0,33,FC,FC,FC,CME,"Feeder Cattle",Combined,Settlement,"FC,FC2,FC1",1,5,500,USD,"50000 lbs","cents/lb",2.5,12.5,VIVVVIIVVVVI,1971-11-30,2020-10-28,"","08:30 - 13:05",,"",2,1,0,0,1,10759
37,0,37,ZI,ZI,ZI,ICEUS,"5000oz Silver",,Settlement,"",1,5,5000,USD,"5000 oz ","USD/oz",1,5,VSVSVSVSVSSV,1987-09-14,2020-10-28,"","20:00 - 18:00",,"",3,0,0,0,1,0
38,56,0,MCU,,,LME,"Copper",,Settlement,"",0,,,,"","",,,,1988-02-01,1988-11-18,"","",,"",1,1,0,0,0,
38,38,2021,MCU,MCU0,,LME,"Copper 3-Month (LME Select)",,Last,"",1,2.5,25,USD,"25 tonnes","USD/tonne",5,12.5,,2001-02-28,2020-10-28,"","01:00 - 19:00",,"",1,1,0,0,0,
38,53,2019,MCU,MCU9,,LME,"Copper 27 Mth AM/PM fix",,Settlement,"",0,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1991-06-10,2012-04-20,"","",,"",1,1,0,0,0,
38,51,2020,MCU,MCU#,,LME,"British Pound Settlement Rate",,Settlement,"",1,2.5,25000,USD,"25 tonnes","USD/tonne",1,2.5,,1993-04-30,2020-10-28,"","",,"",4,0,0,0,0,
38,50,0,MCU,MAU2,,LME,"Gold-Spot O;AM fix;PM fix;C",,Settlement,"",0,0.1,1,USD,"","",1,0.1,,1975-04-16,2018-04-06,"","",,"",1,0,0,0,0,
38,48,2012,MCU,MCU2,,LME,"Copper Cash (Ring)",,Settlement,"",1,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1968-01-02,2020-10-28,"","",,"",1,1,0,0,0,
38,46,2011,MCU,MCU1,,LME,"Copper Cash Close",,Settlement,"",0,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1968-01-02,2019-10-01,"","",,"",1,1,0,0,0,
38,44,2015,MCU,MCU5,,LME,"Copper 27-Month (Ring)",,Settlement,"",1,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1991-06-10,2020-10-28,"","",,"",1,1,0,0,0,
38,60,2018,MCU,MCU8,,LME,"Copper 15 Mth AM/PM fix",,Settlement,"",0,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1993-05-17,2012-04-20,"","",,"",1,1,0,0,0,
38,41,2014,MCU,MCU4,,LME,"Copper 15-Month (Ring)",,Settlement,"",1,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1987-06-11,2020-10-28,"","",,"",1,1,0,0,0,
38,58,2016,MCU,MCU6,,LME,"Copper Cash Official/Unofficial",,Settlement,"",1,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1988-02-01,2020-10-28,"","",,"",1,1,0,0,0,
38,39,2013,MCU,MCU3,,LME,"Copper 3-Month (Ring)",,Settlement,"",1,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1968-01-02,2020-10-28,"","07:00 - 17:00",,"",1,1,0,0,0,
38,55,0,MCU,,,LME,"Copper",,Settlement,"",0,,,,"","",,,,1988-02-01,1988-11-18,"","",,"",1,1,0,0,0,
38,52,0,MCU,MAU3,,LME,"Gold O;AM fix;H&L(AM/PM Fix);C(PM-LM)",,Settlement,"",0,0.1,1,USD,"","",1,0.1,,1975-04-16,2018-04-06,"","",,"",1,0,0,0,0,
38,49,0,MCU,MAU0,,LME,"Gold-Spot O;H&L(AM/PM fix);C(PM fix)",,Settlement,"",0,0.1,1,USD,"","",1,0.1,,1975-04-16,2018-04-06,"","",,"",1,0,0,0,0,
38,47,2001,MCU,MA,,LME,"Gold-Spot K;ask;bid;av",,Settlement,"",0,0.1,1,USD,"100oz","USD/oz",1,0.1,,1975-04-16,1995-05-22,"","",,"",1,1,0,0,0,
38,45,2010,MCU,MCU,,LME,"Copper-Rudolf Wolff Gmbh-3 Mth",,Settlement,"",0,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1987-04-28,2000-07-03,"","",,"",1,1,0,0,0,
38,42,0,MCU,,,LME,"Copper",,Settlement,"",0,,,,"","",,,,1987-06-11,1987-11-10,"","",,"",1,1,0,0,0,
38,59,2017,MCU,MCU7,,LME,"Copper 3-Month Official/Unofficial",,Settlement,"",1,2.5,25,USD,"25 tonnes","USD/tonne",1,2.5,,1988-02-01,2020-10-28,"","",,"",1,1,0,0,0,
38,40,0,MCU,,,LME,"Copper",,Settlement,"",0,,,,"","",,,,1968-01-02,1988-10-17,"","",,"",1,1,0,0,0,
39,59,0,MSV,,,LME,"Silver",,Settlement,"",0,,,,"","",,,,2000-05-31,2002-02-28,"","",,"",1,0,0,0,0,
39,53,0,MSV,,,LME,"Silver",,Settlement,"",0,,,,"","",,,,2000-05-31,2002-02-28,"","",,"",1,0,0,0,0,
39,46,0,MSV,,,LME,"Silver",,Settlement,"",0,,,,"","",,,,2000-06-01,2002-02-28,"","",,"",1,0,0,0,0,
39,41,0,MSV,,,LME,"Silver",,Settlement,"",0,,,,"","",,,,2000-05-31,2002-02-28,"","",,"",1,0,0,0,0,
39,60,0,MSV,,,LME,"Silver",,Settlement,"",0,,,,"","",,,,2000-05-31,2002-02-28,"","",,"",1,0,0,0,0,
39,58,0,MSV,,,LME,"Silver",,Settlement,"",0,,,,"","",,,,2000-05-31,2002-02-28,"","",,"",1,0,0,0,0,
39,48,2033,MSV,MS0,,LME,"Silver fix(Sp)",,Settlement,"",0,10,100,USD,"10000troyoz","cents/troyoz",1,10,,1968-02-21,2002-02-28,"","",,"",1,0,0,0,0,
39,44,2032,MSV,MSV,,LME,"Silver fix 12Mth",,Settlement,"",0,10,100,USD,"10000troyoz","cents/troyoz",1,10,,2000-05-31,2002-02-28,"","",,"",1,0,0,0,0,
39,39,2030,MSV,MS,,LME,"Silver fix  3 Mth",,Settlement,"",0,10,100,USD,"10000troyoz","cents/troyoz",1,10,,2000-05-31,2002-02-28,"","",,"",1,0,0,0,0,
41,0,41,TB,TB,TB,CME,"U.S. T-Bill 3-Month",Combined,Settlement,"TB,TB2",0,2.5,2500,USD,"$1000000","USD/bas pt",5,12.5,SSVSSVSSVSSV,1976-01-06,2014-07-25,"","07:30 - 14:00",,"",3,0,0,0,0,
42,0,42,SE,SE,SE,ICEUS,"Sugar #14(Domestic)",RTH,Settlement,"SE,SE1,SE2",0,11.2,1120,USD,"112000 lbs","cents/lb",1,11.2,VIVIVIVIVIVI,1977-05-02,2009-08-10,"SE2 starts at 2007-03-28","08:30 - 14:00",,"",2,0,0,0,0,
44,0,44,US,US,US,CBT,"U.S. T-Bond",Combined,Settlement,"US,US2,ZB",1,3.125,1000,USD,"$100000","points",5,15.625,IIVIIVIIVIIV,1977-08-22,2020-10-28,"","17:00 - 16:00",,"",-7,0,0,0,1,275204
45,0,45,CI9,CI9,,ICEUS,"Cotton-Cotlook World",,Settlement,"",0,5,500,USD,"50000 lbs","cents/lb",1,5,VVVVVVVVVVVV,1992-10-01,1994-10-13,"","09:30 - 14:40",,"",2,0,0,0,1,
46,39,2042,MTN,MTN2,,LME,"Tin 3-Month (Ring)",,Settlement,"",1,5,5,USD,"5 tonnes","USD/tonne",1,5,,1989-06-01,2020-10-28,"","07:00 - 17:00",,"",0,0,0,0,0,
